First Name,Last Name,Company,Connection,Email Address,Position
Usman,Brown,Apple,Fatima Butt,usman.brown.0@example.com,Consultant
Zain,Mirza,Adobe,Afraz Siddiqui,zain.mirza.1@example.com,Intern
Usman,Butt,Meta,Afraz Siddiqui,usman.butt.2@example.com,Engineer
Fatima,Khan,HCC,Amna Iqbal,fatima.khan.3@example.com,Analyst
John,Smith,Microsoft,Afraz Siddiqui,john.smith.4@example.com,Manager
Usman,Iqbal,Adobe,Afraz Siddiqui,usman.iqbal.5@example.com,Specialist
Mina,Malik,Amazon,John Javed,mina.malik.6@example.com,Specialist
Zara,Ahmed,Airbnb,Afraz Siddiqui,zara.ahmed.7@example.com,Engineer
Amna,Smith,Airbnb,Afraz Siddiqui,amna.smith.8@example.com,Consultant
Mina,Ansari,HCC,Omar Raza,mina.ansari.9@example.com,Developer
Amna,Ahmed,Adobe,Afraz Siddiqui,amna.ahmed.10@example.com,Consultant
Bilal,Javed,Tesla,Afraz Siddiqui,bilal.javed.11@example.com,Analyst
Omar,Ansari,Microsoft,Usman Mirza,omar.ansari.12@example.com,Analyst
Mina,Khan,Google,Afraz Siddiqui,mina.khan.13@example.com,Intern
Hassan,Smith,Tesla,Afraz Siddiqui,hassan.smith.14@example.com,Engineer
Jane,Smith,Adobe,Zain Brown,jane.smith.15@example.com,Intern
Zara,Khan,Adobe,Afraz Siddiqui,zara.khan.16@example.com,Developer
Bilal,Shah,Airbnb,Afraz Siddiqui,bilal.shah.17@example.com,Engineer
Noor,Zubair,Apple,John Shah,noor.zubair.18@example.com,Consultant
Ali,Ali,Meta,Afraz Siddiqui,ali.ali.19@example.com,Developer
Fatima,Shah,Tesla,Afraz Siddiqui,fatima.shah.20@example.com,Analyst
John,Khan,Amazon,Ayesha Shah,john.khan.21@example.com,Developer
John,Butt,Tesla,Afraz Siddiqui,john.butt.22@example.com,Developer
Bilal,Zubair,Microsoft,Afraz Siddiqui,bilal.zubair.23@example.com,Specialist
Ali,Qureshi,Tesla,Ayesha Raza,ali.qureshi.24@example.com,Intern
Amna,Iqbal,Microsoft,Afraz Siddiqui,amna.iqbal.25@example.com,Consultant
Amna,Zubair,Tesla,Afraz Siddiqui,amna.zubair.26@example.com,Intern
Ayesha,Javed,Amazon,Jane Qureshi,ayesha.javed.27@example.com,Manager
Sara,Mirza,IBM,Afraz Siddiqui,sara.mirza.28@example.com,Engineer
Noor,Butt,Tesla,Afraz Siddiqui,noor.butt.29@example.com,Intern
John,Smith,Adobe,Omar Smith,john.smith.30@example.com,Intern
Ayesha,Malik,Microsoft,Afraz Siddiqui,ayesha.malik.31@example.com,Developer
Usman,Ahmed,Amazon,Afraz Siddiqui,usman.ahmed.32@example.com,Engineer
Mina,Ansari,Microsoft,Ali Javed,mina.ansari.33@example.com,Specialist
Ali,Raza,Apple,Afraz Siddiqui,ali.raza.34@example.com,Manager
Sara,Javed,Amazon,Afraz Siddiqui,sara.javed.35@example.com,Engineer
Zara,Javed,Meta,Hassan Raza,zara.javed.36@example.com,Consultant
