First Name,Last Name,Email Address,Company,Connection,Position
Andrew,Massey,andrew.massey@yahoo.com,Smith-Howard,Afraz Siddiqui,DevOps Engineer
Jacqueline,Floyd,jacqueline.floyd@hotmail.com,Smith-Howard,Afraz Siddiqui,QA Engineer
Denise,Tran,denise.tran@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Business Analyst
Lisa,Hughes,lisa.hughes@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Business Analyst
Alicia,Little,alicia.little@gmail.com,Ryan-Sellers,Afraz Siddiqui,Support Engineer
Brandon,Kelly,brandon.kelly@hotmail.com,Golden Group,Afraz Siddiqui,DevOps Engineer
Luke,Vargas,luke.vargas@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Technical Writer
Natalie,Campbell,natalie.campbell@gmail.com,Graham-Kim,Afraz Siddiqui,Data Analyst
Cheyenne,Krueger,cheyenne.krueger@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Support Engineer
Marcus,Smith,marcus.smith@hotmail.com,Salazar-Carroll,Afraz Siddiqui,Support Engineer
Ronnie,Ingram,ronnie.ingram@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,CTO
Nicole,Ortega,nicole.ortega@hotmail.com,Jones-Watson,Afraz Siddiqui,QA Engineer
Heather,Thomas,heather.thomas@yahoo.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,CTO
Joshua,Wright,joshua.wright@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Business Analyst
Miguel,Allen,miguel.allen@hotmail.com,Graham-Kim,Afraz Siddiqui,Technical Writer
Debra,Jones,debra.jones@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Product Manager
Jason,Smith,jason.smith@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Data Analyst
Cynthia,Green,cynthia.green@yahoo.com,Carlson-Evans,Afraz Siddiqui,Marketing Specialist
Kimberly,Gibson,kimberly.gibson@gmail.com,Salazar-Carroll,Afraz Siddiqui,Software Engineer
John,Williams,john.williams@gmail.com,Smith-Howard,Afraz Siddiqui,Business Analyst
Thomas,Mcdonald,thomas.mcdonald@gmail.com,Graham-Kim,Afraz Siddiqui,Support Engineer
Lauren,Curry,lauren.curry@yahoo.com,Perez Inc,Afraz Siddiqui,Sales Manager
Elizabeth,Cain,elizabeth.cain@yahoo.com,Graham-Kim,Afraz Siddiqui,Product Manager
Stephen,Blackwell,stephen.blackwell@gmail.com,Golden Group,Afraz Siddiqui,Support Engineer
Amanda,Melendez,amanda.melendez@yahoo.com,Foster-Donaldson,Afraz Siddiqui,DevOps Engineer
Michelle,Larson,michelle.larson@yahoo.com,Benjamin-Davis,Afraz Siddiqui,Marketing Specialist
Shaun,Moore,shaun.moore@hotmail.com,Golden Group,Afraz Siddiqui,CTO
Victoria,Turner,victoria.turner@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Business Analyst
Steven,Rogers,steven.rogers@yahoo.com,Golden Group,Afraz Siddiqui,Data Analyst
Christine,Dixon,christine.dixon@hotmail.com,Bullock and Sons,Afraz Siddiqui,Sales Manager
Brooke,Evans,brooke.evans@gmail.com,Smith-Howard,Afraz Siddiqui,Support Engineer
Jill,Harper,jill.harper@yahoo.com,Golden Group,Afraz Siddiqui,Software Engineer
Jennifer,Walton,jennifer.walton@hotmail.com,Golden Group,Afraz Siddiqui,Software Engineer
Michael,Brock,michael.brock@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Data Analyst
Alexandra,Thornton,alexandra.thornton@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Marketing Specialist
Kim,Smith,kim.smith@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,QA Engineer
Tanya,Miller,tanya.miller@hotmail.com,Fields-Miller,Afraz Siddiqui,Business Analyst
Victoria,Jackson,victoria.jackson@gmail.com,Fields-Miller,Afraz Siddiqui,Business Analyst
Teresa,Harper,teresa.harper@hotmail.com,Perez Inc,Afraz Siddiqui,Marketing Specialist
Heather,Miller,heather.miller@hotmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Marketing Specialist
Melissa,Pena,melissa.pena@hotmail.com,Ryan-Sellers,Afraz Siddiqui,Support Engineer
Angel,Miller,angel.miller@yahoo.com,Salazar-Carroll,Afraz Siddiqui,Business Analyst
Kim,Bishop,kim.bishop@hotmail.com,"Young, Greer and Thomas",Afraz Siddiqui,Sales Manager
